Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2012,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,227122.75,12750.62785,2930.4128,0,0,0,242803.7907
2012,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,STURGEON COUNTY,Alberta,1254154.209,42838.52508,15204.10483,0,0,0,1312196.839
2012,G10007,3974,Alberta Envirofuels - Alberta Envirofuels,325190,EDMONTON,Alberta,231276.3159,627.585025,393.36,0,0,0,232297.2609
2012,G10008,,Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System,486210,CALGARY,Alberta,512144.3048,49966.41218,3625.9746,0,0,0,565736.6915
2012,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,125433.0205,2103.349975,17565.0143,0,0,0,145101.3848
2012,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,74903.47317,133247.4636,3065.7942,0,0,0,211216.7309
2012,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,4716767,1429.683875,21345.55494,0,0,0,4739542.239
2012,G10029,3749,Blaze Energy Ltd. - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,85571.30469,61849.5919,1687.517678,0,0,0,149108.4143
2012,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,72828,7886.54,2525.55,0,0,0,83240.09
2012,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,441424.0313,821.35,3513.42,0,0,0,445758.8013
2012,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1664914.887,1894.704975,5050.385098,0,0,0,1671859.977
2012,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,Medicine Hat,Alberta,142762.5166,334.965,354.2624,0,0,3.42,143455.164
2012,G10046,,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,1498897,498661.0668,20766.5475,0,0,0,2018324.614
2012,G10053,3269,Agrium Inc. - Carseland Nitrogen Operations,325313,Carseland,Alberta,602162.5793,2850.4975,2191.492,0,0,0,607204.5688
2012,G10054,6700,TransCanada Energy Ltd. - Carseland Power Plant,221112,Carseland,Alberta,324113.0313,553.490025,2476.231,0,0,0,327142.7523
2012,G10055,2857,Orica Canada Inc. - Carseland Works,325313,Carseland,Alberta,418.421005,10.9675,277759.095,0,0,0,278188.4835
2012,G10058,6633,EnCana Corporation - Cavalier Power Plant,221112,STRATHMORE,Alberta,280287.2993,589.75,2059.18,0,0,0,282936.2293
2012,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211114,LAC LA BICHE,Alberta,975808.1824,4405.457475,1650.3538,0,0,0,981863.9937
2012,G10068,6576,City of Medicine Hat - Electric Utility - Generation,221112,Medicine Hat,Alberta,351803.1875,15857.85303,2647.6108,0,0,6.84,370315.4913
2012,G10069,23368,Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre,221112,EDMONTON,Alberta,249865.25,1595.93,1902.3426,0,0,0,253363.5226
2012,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,COCHRANE,Alberta,525940.7303,8815.010525,3284.300316,0,0,0,538040.0411
2012,G10073,442,Imperial Oil Resources - Cold Lake,211114,GRANDE CENTRE,Alberta,4309103.253,14892.85915,21312.01713,0,0,0,4345308.129
2012,G10086,15437,ATCO Gas and Pipelines Ltd. - ATCO Gas - Distribution Systems,221210,EDMONTON,Alberta,10819.19971,138797.5599,59.93376,0,0,0,149676.6934
2012,G10095,24315,City of Calgary - East Calgary Landfill,562210,CALGARY,Alberta,1038,36503.50038,0,0,0,0,37541.50038
