Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2013,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,257061.1875,12804.42788,3323.892,0,0,0,273189.5074
2013,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,STURGEON COUNTY,Alberta,1193614.176,62566.39945,13010.6803,0,0,0,1269191.256
2013,G10007,3974,Alberta Envirofuels - Alberta Envirofuels,325190,EDMONTON,Alberta,254935.4113,489.3475,433.2026,0,0,0,255857.9614
2013,G10008,,Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System,486210,CALGARY,Alberta,547459.0484,26224.4152,3834.7832,0,0,0,577518.2468
2013,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,148139.5688,2042.01245,17245.2603,0,0,0,167426.8416
2013,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,79996.33894,128595.3681,3373.3749,0,0,0,211965.082
2013,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,4405236.402,1208.337475,19790.5379,0,0,0,4426235.277
2013,G10029,3749,Blaze Energy Ltd. - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,78750.22876,63583.66908,1669.5152,0,0,0,144003.413
2013,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,74121.77575,7994.972575,2677.4406,0,0,0,84794.18893
2013,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,415847.375,2655.3749,3170.124,0,0,0,421672.8739
2013,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1761835.305,1869.297525,5233.386898,0,0,0,1768937.989
2013,G10046,,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,1793358.466,855426.7025,24444.43429,0,0,0,2673229.603
