Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2016,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,252984.1361,34417.74903,1484.338,0,0,0,288886.2232
2016,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,STURGEON COUNTY,Alberta,1301593.804,29535.6485,8328.951,0,0,0,1339458.403
2016,G10007,3974,Keyera Corp - Alberta Envirofuels,325190,EDMONTON,Alberta,280526.5055,619.525,460.3504,0,0,0,281606.3809
2016,G10008,,Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System,486210,CALGARY,Alberta,523106.9643,22475.3744,4303.716,0,0,0,549886.0547
2016,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,87622,2294.99005,18881.9654,0,0,0,108798.9555
2016,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines - Transmission System,486210,EDMONTON,Alberta,77210.7209,105731.7572,3761.6242,0,0,0,186704.1023
2016,G10018,1033,ATCO Power - Battle River Generating Station,221112,FORESTBURG,Alberta,2145988.5,580.1975,9423.4156,0,0,0,2155992.113
2016,G10029,3749,Tidewater Midstream and Infrastructure Ltd. - Brazeau Gas Plant,211113,Drayton Valley,Alberta,78087.65381,64723.73413,1555.113,0,0,0,144366.5009
2016,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,63312.64973,4568.750025,1929.997,0,0,0,69811.39676
2016,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,288721,1843.49995,2201.624,0,0,0,292766.124
2016,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1576429.303,1836.254975,5027.408702,0,0,0,1583292.966
2016,G10046,,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,2691812.275,366199.1081,15789.679,0,0,0,3073801.062
2016,G10053,3269,Agrium Inc. - Carseland Nitrogen Operations,325313,CARSELAND,Alberta,560600.9824,5100.200175,2286.1964,0,0,0,567987.3789
2016,G10054,6700,TransCanada Energy Ltd. - Carseland Power Plant,221112,Carseland,Alberta,351079.4375,577.345,2626.8104,0,0,0,354283.5929
2016,G10055,2857,Orica Canada Inc. - Carseland Works,325313,CARSELAND,Alberta,371.476013,8.3875,143469.8394,0,0,0,143849.7029
2016,G10058,6633,ENMAX Cavalier GP Inc.                                                 - Cavalier Energy Centre,221112,STRATHMORE,Alberta,181385.3621,416.4064,1324.312,0,0,0,183126.0805
2016,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211114,LAC LA BICHE,Alberta,2317351.786,17579.76753,3958.8108,0,0,0,2338890.364
2016,G10068,6576,City of Medicine Hat - Electric Utility - Generation,221112,MEDICINE HAT,Alberta,312834.75,6602.869975,2370.8284,0,0,0,321808.4484
2016,G10069,23368,Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre,221112,EDMONTON,Alberta,164372.2188,1011.7075,1205.9464,0,0,0,166589.8727
2016,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,COCHRANE,Alberta,500333.8561,3293.7275,3367.0424,2713.785,0,0,509708.411
2016,G10073,442,Imperial Oil Resources Limited - Cold Lake,211114,GRANDE CENTRE,Alberta,5426180.616,27828.56623,30220.08881,0,0,0,5484229.271
2016,G10086,,ATCO Gas and Pipelines Ltd. - ATCO Gas - Distribution System,221210,Edmonton,Alberta,55736.71994,84865.6111,0,0,0,0,140602.331
2016,G10095,24315,City of Calgary - East Calgary Landfill,562210,CALGARY,Alberta,844,30502.99988,33.972,0,0,0,31380.97188
2016,G10096,4140,Taqa North Ltd. - East Crossfield Gas Plant 9-14-28-1W5,211113,CROSSFIELD,Alberta,110251.7403,2190.39995,660.3382,0,0,0,113102.4784
2016,G10098,3903,Suncor Energy Products Partnership - Edmonton Refinery,324110,", Sherwood Park",Alberta,1311150.461,3051.206625,2227.969286,0,0,0,1316429.637
2016,G10100,5284,Repsol Oil & Gas Canada Inc. - Edson Gas Plant,211113,EDSON,Alberta,179011.8331,14049.32478,1499.834,0,0,0,194560.9919
2016,G10106,23956,ConocoPhillips Canada (BRC) Partnership - Elmworth Gas Plant,211113,ELMWORTH,Alberta,235491.6842,17935.12463,1391.362,0,0,0,254818.1709
2016,G10108,3752,Plains Midstream Canada - Empress Straddle Gas Plant,211113,CYPRESS COUNTY,Alberta,299987.3513,3970.48095,1379.907774,0,0,0,305337.74
2016,G10111,6826,Graymont Western Canada Inc. - Exshaw Plant,327410,EXSHAW,Alberta,124385.8371,227.625,215.752,0,0,0,124829.2141
2016,G10112,5291,Lafarge Canada Inc. - Exshaw Cement Plant,327310,EXSHAW,Alberta,769877.7056,1395.110725,1168.30453,0,0,0,772441.1209
2016,G10119,2132,Sherritt International Corporation - Fort Saskatchewan,331410,FORT SASKATCHEWAN,Alberta,309198.1472,14988.77735,3339.4774,0,0,0,327526.4019
2016,G10120,5352,TransAlta Generation Partnership - Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,221112,FORT SASKATCHEWAN,Alberta,353178.375,635.885,2640.9356,0,0,0,356455.1956
2016,G10121,4874,Agrium Inc. - Fort Saskatchewan Nitrogen Operations,325313,FORT SASKATCHEWAN,Alberta,583139.8513,8502.16495,1775.3648,0,0,0,593417.3811
