Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2017,G10576,4830,West Fraser Mills Ltd. - Ranger Board,321216,BLUE RIDGE,Alberta,380,1007.5,29665.9,0,0,0,31053.4
2017,G10018,1033,ATCO Power - Battle River Generating Station,221112,FORESTBURG,Alberta,2044043.495,555.955,8905.2234,0,0,0,2053504.673
2017,G10265,1036,ATCO Power - Sheerness Generating Station,221112,HANNA,Alberta,5638127.168,1515.44,25163.3882,0,0,0,5664805.996
2017,G10341,6611,ATCO Power Canada Ltd. - Poplar Hill Generating Station,221112,GRANDE PRAIRIE,Alberta,48603.6448,128.8575,372.351,0,0,0,49104.8533
2017,G10349,6615,ATCO Power Canada Ltd. - Valleyview Generating Station,221112,VALLEYVIEW,Alberta,18886.3214,498.575,140.2686,0,0,0,19525.165
2017,G10152,6556,INEOS Canada Partnership - Joffre LAO Plant,325110,JOFFRE,Alberta,154244.3192,111.062225,1116.015662,0,0,0,155471.397
2017,G10817,29066,Pengrowth Energy Corporation - LINDBERGH SAGD 04-25,211141,LINDBERGH,Alberta,338342.647,1211.15,1152.8726,0,0,0,340706.6696
2017,G10237,426,Pengrowth Energy Corporation - Quirk Creek Gas Plant,211110,MILLARVILLE,Alberta,87303.579,2542.675,1302.6176,0,0,0,91148.8716
2017,G10241,6609,ATCO Power Canada Ltd. - Rainbow Lake Cogeneration Power Plant (Units 4-5),221112,RAINBOW LAKE,Alberta,74386.5769,158.725,658.58,0,0,0,75203.8819
2017,G10196,,ATCO Power Canada Ltd. - Muskeg River Cogeneration Plant,221112,FORT MCMURRAY,Alberta,1384661.497,1898.54,7665.5136,0,0,0,1394225.551
2017,G11121,2517,Spray Lake Sawmills (1980) Ltd. - Spray Lake Sawmills (1980) Ltd.,321114,COCHRANE,Alberta,10690.9,109.72,125.16,0,0,0,10925.78
2017,G10563,6504,Tolko Industries Ltd. - Tolko High Level Lumber Division,321111,HIGH LEVEL,Alberta,36846.6862,12325.865,2740.9742,0,0,0,51913.5254
2017,G10316,280,Dow Chemical Canada ULC - Western Canada Operations,325110,FORT SASKATCHEWAN,Alberta,1035494.098,2534.755,3549.5376,0,0,642.048,1042220.439
2017,G10375,2316,Dow Chemical Canada ULC - Prentiss Manufacturing Facility,325110,LACOMBE COUNTY,Alberta,31766.3157,692.15,216.5864,0,0,0,32675.0521
2017,G11527,,Flagstaff Regional Solid Waste Management - Flagstaff Waste Regional Landfill,562210,SEDGEWICK,Alberta,1652,15055,0,0,0,0,16707
2017,G10112,5291,Lafarge Canada Inc. - Exshaw Cement Plant,327310,EXSHAW,Alberta,1050522.509,142.388525,1546.43822,0,0,0,1052211.336
2017,G10804,28963,Athabasca Oil Corporation - AOC Hangingstone SAGD,211141,Fort McMurray,Alberta,339636.4071,1980.56,585.3018,0,0,0,342202.2689
2017,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211141,LAC LA BICHE,Alberta,3120214.807,13516.6825,7181.949,0,0,0,3140913.438
2017,G10639,24145,Athabasca Oil Corporation - Leismer SAGD Bitumen Battery,211141,Conklin,Alberta,533449.7803,961.225,682.0624,0,0,0,535093.0677
2017,G10465,6627,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Foster Creek SAGD Bitumen Battery (with Cogen)",211141,BONNYVILLE,Alberta,3141386.825,7666.14,9541.2746,0,0,0,3158594.24
2017,G10771,26425,Athabasca Oil Corporation - Kaybob East 16-03,211110,Fox Creek,Alberta,4368.09,1132.19,1371.6642,0,0,0,6871.9442
2017,G10772,26426,Athabasca Oil Corporation - Kaybob West 07-14,211110,Fox Creek,Alberta,27164.16,6975.7125,8451.1012,0,0,0,42590.9737
2017,G11713,29971,Athabasca Oil Corporation - Placid 6-29,211110,Fox Creek,Alberta,17014.81,4454.095,5396.1542,0,0,0,26865.0592
2017,G10773,26427,Athabasca Oil Corporation - Saxon 10-19,211110,Fox Creek,Alberta,7527.95,1950.045,2364.3916,0,0,0,11842.3866
2017,G10261,6219,Air Liquide Canada Inc. - Scotford Complex,221112,FORT SASKATCHEWAN,Alberta,459767,212.175,2255.86,0,0,0,462235.035
