Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2015,G10232,18997,MEGlobal Canada ULC. - Prentiss Chemical Manufacturing Facility,325190,Lacombe County,Alberta,135350.3785,584.1075,204.5174,0,0,0,136139.0034
2015,G10237,426,Pengrowth Energy Corporation - Quirk Creek Gas Plant,211113,MILLARVILLE,Alberta,102966.3897,2639.3425,1495.4534,0,0,0,107101.1856
2015,G10241,6609,ATCO Power Canada Ltd. - Rainbow Lake Cogeneration Power Plant (Units 4-5),221112,RAINBOW LAKE,Alberta,185557.9074,375.7975,1563.2186,0,0,0,187496.9235
2015,G10243,407,Husky Oil Operations Limited - Ram River,211113,ROCKY MOUNTAIN HOUSE,Alberta,351465.875,4213.7224,1290.8764,0,0,0,356970.4738
2015,G10246,6701,TransCanada Energy Ltd. - Redwater Cogeneration Plant,221112,REDWATER,Alberta,190091.2031,302.245,1387.2794,0,0,0,191780.7275
2015,G10249,1372,Keyera Corp - Rimbey Gas Plant,211113,RIMBEY,Alberta,355750.6707,7404.8748,1852.368,0,0,0,365007.9135
2015,G10260,2963,Shell Chemicals Canada Limited. - Scotford Chemical Plant,325110,Fort Saskatchewan,Alberta,318652.1243,303.6725,1563.5762,43.835,0,0,320563.208
2015,G10261,6219,Air Liquide Canada Inc. - Scotford Complex,221112,FORT SASKATCHEWAN,Alberta,348193.22,162.225,1730.3668,0,0,0,350085.8118
2015,G10262,6546,Shell Canada Energy Limited - Scotford Upgrader and Upgrader Cogeneration,211114,FORT SASKATCHEWAN,Alberta,3248627.773,11340.21693,16278.39274,0,0,0,3276246.383
2015,G10265,1036,Alberta Power (2000) Ltd. - Sheerness Generating Station,221112,HANNA,Alberta,4259645.631,1386.309975,19753.9432,0,0,0,4280785.884
2015,G10267,2120,Shell Canada Limited - Caroline Complex,211113,CAROLINE,Alberta,509191.1009,1427.157525,3573.3776,0,0,0,514191.636
2015,G10268,2119,Shell Canada Limited - Jumping Pound Complex,211113,CALGARY,Alberta,221417.9628,2882.1326,1551.8648,0,0,0,225851.9602
2015,G10269,2960,Shell Canada Products - Shell Scotford Refinery,324110,Fort Saskatchewan,Alberta,936571.9854,12717.39533,2762.162,29.575,0,0,952081.1178
2015,G10277,1374,Keyera Corp - Strachan Gas Plant,211113,ROCKY MOUNTAIN HOUSE,Alberta,242551.2322,11911.50733,2813.6862,0,0,0,257276.4257
2015,G10278,3707,Imperial Oil - Strathcona Refinery,324110,Edmonton,Alberta,1542591.311,1860.095025,5907.7904,0,0,0,1550359.196
2015,G10281,2284,TransAlta Generation Partnership - Sundance Thermal Electric Power Generating Plant,221112,DUFFIELD,Alberta,14329269,4144.6724,97571.45502,0,0,0,14430985.13
2015,G10312,432,Canadian Natural Resources Limited - Wapiti Gas Plant,211113,GROVEDALE,Alberta,97871.00833,6143.750175,1178.59,0,0,0,105193.3485
2015,G10313,2108,SHELL CANADA LIMITED - Waterton Complex,211113,Pincher Creek,Alberta,320129.8998,4679.900025,2924.1846,0,0,0,327733.9844
2015,G10316,280,Dow Chemical Canada ULC - Western Canada Operations,325190,FORT SASKATCHEWAN,Alberta,1106441.493,3107.06005,4304.4014,1859,0,0,1115711.954
2015,G10321,3751,Direct Energy Marketing Ltd. - Wildcat Hills Gas Plant,211113,COCHRANE,Alberta,105647.8274,1924.19245,511.1296,0,0,0,108083.1494
2015,G10324,4136,Canadian Natural Resources Limited - Wolf Lake and Primrose Plant,211114,NA,Alberta,3117204.566,39548.22805,18695.9243,0,0,0,3175448.718
2015,G10327,19289,Rio Tinto  - Strathcona Works,324190,SHERWOOD PARK,Alberta,137354.2568,1.005,10.4002,0,0,0,137365.662
2015,G10352,6869,Waste Management of Canada Corporation - West Edmonton Landfill,562210,EDMONTON,Alberta,945,71336.24755,116.22,0,0,0,72397.46755
2015,G10356,6560,Nexen Inc. - Balzac Power Station,221112,Rocky View County,Alberta,154720.06,476.6,1183.06,0,0,0,156379.72
2015,G10359,1585,Coal Valley Resources Inc. - Coal Valley Mine,212114,EDSON,Alberta,61203.32031,34373.00148,7479.8,0,0,0,103056.1218
2015,G10361,19995,Air Products Canada Ltd. - Edmonton Hydrogen Facility,325120,EDMONTON,Alberta,1202117.881,1043.624975,282.6828,0,0,0,1203444.189
2015,G10371,1074,Pengrowth Energy Corporation - Olds Gas Plant,211113,OLDS,Alberta,116305.6203,2894.12245,1787.4338,0,0,0,120987.1765
2015,G10375,2316,Dow Chemical Canada ULC - Prentiss Manufacturing Facility,325110,LACOMBE COUNTY,Alberta,34908.70874,601.31,33.3164,0,0,0,35543.33514
2015,G10382,5367,General Scrap Partnership - GenAlta Recycling Inc.,339990,EDMONTON,Alberta,617.849976,1.75,5.96,0,0,0,625.559976
2015,G10390,22378,Nexen Inc. - Long Lake Project,211114,FORT MCMURRAY,Alberta,3519078.8,13060.2496,15224.8206,0,0,0,3547363.87
2015,G10392,3775,General Scrap Partnership - Navajo Metals,339990,CALGARY,Alberta,1731.200012,2.5,44.7,0,0,0,1778.400012
2015,G10394,21548,Husky Oil Operations Limited - Tucker Thermal,211114,BONNEVILLE,Alberta,559333.4189,325.1175,1003.3958,0,0,0,560661.9322
2015,G10402,6895,Teck Coal Limited - Cardinal River Operations,212114,HINTON,Alberta,62072.03711,29296.15445,5452.267302,0,0,0,96820.45886
2015,G10406,22750,Connacher Oil and Gas Limited - Pod One,211114,FORT MCMURRAY,Alberta,227198.595,431.9275,369.7584,0,0,0,228000.2809
2015,G10408,23275,Canadian Natural Resources Limited - Horizon Oil Sands Processing Plant and Mine,211114,FORT MCMURRAY,Alberta,3729641.381,178571.0585,11750.289,700.414,0,60.1692,3920723.312
2015,G10409,22267,Devon Canada Corporation - Jackfish 1 SAGD Plant,211114,CONKLIN,Alberta,635849.1043,12114.90533,1115.5332,0,0,0,649079.5428
2015,G10412,22493,Osum Production Corp. - Orion Facilities,211114,COLD LAKE,Alberta,197357.9003,716.675,289.656,0,0,0,198364.2313
2015,G10414,22141,ConocoPhillips Canada Resources Corp. - Surmont SAGD Commercial Battery,211114,ANZAC,Alberta,899755.4655,1283.175,1600.856,0,0,0,902639.4965
2015,G10417,6619,AECO Gas Storage Partnership - Suffield Gas Storage Facility,211113,MEDICINE HAT,Alberta,23775.66451,13172.62538,169.86,0,0,0,37118.14988
2015,G10420,1106,AltaSteel Ltd. - AltaSteel,331110,EDMONTON,Alberta,71926.51636,26.275,264.624,0,0,0,72217.41536
2015,G10421,6972,Baymag Inc. - Baymag Exshaw Operations,327990,EXSHAW,Alberta,152840.82,18.28,221.8312,0,0,0,153080.9312
2015,G10428,16009,Canadian Natural Resources Limited - Galloway Plant 14-14,211113,N/A,Alberta,41526.65491,9364.494975,4024.5496,0,0,0,54915.69948
2015,G10429,3753,Canadian Natural Resources Limited - Gold Creek Gas Plant,211113,GRANDE PRAIRIE,Alberta,48012.74461,4656.082425,1040.4968,0,0,0,53709.32383
2015,G10441,,City of Lethbridge - Lethbridge Waste and Recycling Centre Disposal Site,562210,LETHBRIDGE,Alberta,552,67850.75,5.96,0,0,0,68408.71
2015,G10446,,ConocoPhillips Canada Operations Ltd. - Berland Sweet Gas Plant,211113,n/a,Alberta,72139.07561,19556.27448,555.472,0,0,0,92250.82208
2015,G10455,27963,Pembina Pipeline Corporation - Resthaven Sweet Gas Plant 08-11,211113,N/A,Alberta,72761.35861,13849.49973,323.032,0,0,0,86933.89033
2015,G10456,4823,EnCana Corporation - Sexsmith Sour Gas Plant,211113,N/A,Alberta,72947.39176,1962.750025,214.56,0,0,0,75124.70178
2015,G10461,5390,EPCOR Water Services Inc. - Gold Bar Wastewater Treatment Plant,221320,Edmonton,Alberta,22496,1121,15293.36,0,0,0,38910.36
