Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2018,G10098,3903,Suncor Energy Products Partnership - Edmonton Refinery,324110,Sherwood Park,Alberta,1126632.77,1229.25,1979.1372,0,0,0,1129841.157
2018,G11233,5308,City of Calgary - Bonnybrook Wastewater Treatment Plant,221320,Calgary,Alberta,16116,6905.25,9536,0,0,0,32557.25
2018,G11235,2760,Weyerhaeuser Company Limited - Drayton Valley Sawmill,321111,Drayton Valley,Alberta,18920.04,8,12.218,0,0,0,18940.258
2018,G11527,,Flagstaff Regional Solid Waste Management - Flagstaff Waste Regional Landfill,562210,Sedgewick,Alberta,1632,14870,0,0,0,0,16502
2018,G11169,6828,K+S Windsor Salt Ltd. - Lindbergh Facility,325189,Lindbergh,Alberta,28249,2.45,12.70672,0,0,0,28264.15672
2018,G11056,2630,Johns Manville Canada Inc. - Innisfail Plant,327214,Innisfail,Alberta,23652.10171,12.86145,111.743742,0,0,0,23776.7069
2018,G10152,6556,INEOS Canada Partnership - Joffre LAO Plant,325110,Joffre,Alberta,167876.6673,115.038075,766.366302,0,0,0,168758.0716
2018,G10261,6219,Air Liquide Canada Inc. - Scotford Complex,221112,Fort Saskatchewan,Alberta,435891,201.85,2146.494,0,0,0,438239.344
2018,G10828,1028,Alberta Newsprint Co. - ALBERTA NEWSPRINT,322122,Whitecourt,Alberta,164379.2821,1113.33,1414.4272,0,0,0,166907.0393
2018,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,Medicine Hat,Alberta,153858.5886,325.7225,383.9432,0,0,3.4656,154571.7199
2018,G10789,27964,Pembina Pipeline Corporation - Saturn Deepcut Gas Plant 12-36,211110,Greenview No. 16,Alberta,120688.1075,2916.52,904.8472,0,0,0,124509.4747
2018,G11079,5235,Cargill Foods - Cargill High River Plant,311611,High River,Alberta,34554.225,11346.4475,233.03004,6.2625,0,0,46139.96504
2018,G11888,29203,Cargill Limited - Cargill Limited - Oilseed Processing,311224,Camrose,Alberta,65303.6739,95.41,504.1564,0,0,0,65903.2403
2018,G11091,16633,Whitecap Resources Inc. - Whitecap Valhalla North 03-27-075-09W6,211110,Valhalla,Alberta,10305.7598,3715.835,303.4236,0,0,0,14325.0184
2018,G11226,17116,Whitecap Resources Inc. - Everdell Gas Plant 14-20-038-07 W5M,211110,NA,Alberta,16488.6603,2696.3,1009.5942,0,0,0,20194.5545
2018,G11893,,Whitecap Resources Inc. - WAPATI 13-5-67-8W6,211110,Greenview,Alberta,37894.9253,3149.6075,371.4272,0,0,0,41415.96
2018,G10107,1091,Plains Midstream Canada ULC - Empress Gas Plant,211110,Medicine Hat,Alberta,53863.729,1176.2,266.71,0,0,0,55306.639
2018,G11174,4468,Bunge Canada  - BUNGE CANADA - FORT SASKATCHEWAN PLANT,311224,Sturgeon County,Alberta,13747.4,6.5,68.54,0,0,0,13822.44
2018,G10327,19289,Rio Tinto Alcan Inc - Strathcona Works,324190,Sherwood Park,Alberta,106476.022,0.69,3.0992,23.7975,0,0,106503.6087
2018,G10985,250,Evonik Canada Inc. - Gibbons Site,325189,Gibbons,Alberta,19408.7,10.05,92.38,0,0,0,19511.13
2018,G10566,6678,University of Alberta Heating Plant - Heating Plant,611310,Edmonton,Alberta,177043.7281,1136.5075,1355.602,0,0,0,179535.8376
2018,G10125,18996,MEGlobal Canada ULC - Fort Saskatchewan EOEG,325190,Fort Saskatchewan,Alberta,91929.0728,593.2375,0,0,0,0,92522.3103
2018,G10232,18997,MEGlobal Canada ULC - Prentiss Chemical Manufacturing Facility,325190,Lacombe County,Alberta,315998.9989,1195.6875,247.787,0,0,0,317442.4734
2018,G10870,28182,Encana Corporation - Kaybob Gas Plant 15-31,211110,Grande Prairie,Alberta,40774.72,7940.5,730.1,0,0,0,49445.32
2018,G11896,29349,Inter Pipeline Offgas Ltd - Pioneer 2 Liquids Extraction Plant,211141,Fort McMurray,Alberta,10728.6931,860.5425,10.728,0,0,0,11599.9636
2018,G10132,1039,Milner Power Limited Partnership by its GP Milner Power Inc. - H.R.Milner Generating Station,221112,Grande Cache,Alberta,276237.252,921.745,1586.9692,0,0,0,278745.9662
2018,G11676,32465,Ridgeback Resources Inc. - BRAZEAU 14-30-45-11W5 MWOB,211110,Brazeau,Alberta,13076.8706,2964.8525,772.4458,0,0,0,16814.1689
2018,G10137,3941,AltaGas Ltd. - Harmattan Gas Processing Plant,211110,Didsbury,Alberta,351909.408,17130.95,6542.292,0,0,0,375582.65
2018,G10071,5248,Inter Pipeline Ltd. - Cochrane Extraction Plant,211110,Cochrane,Alberta,499908.7569,3763.4275,3459.482,6326.586,0,0,513458.2524
2018,G10915,21775,Prairie Mines & Royalty ULC - Paintearth Mine,212115,Forestburg,Alberta,5658.6377,5631.675,16.6284,0,0,0,11306.9411
2018,G11473,16878,Encana Corporation - Gleichen Comp Stn 13-26,211110,Calgary,Alberta,5930.38,6408.5,199.66,0,0,0,12538.54
2018,G11282,16743,Encana Corporation - Hythe Comp Stn 07-34,211110,Grande Prairie,Alberta,9955.97,1671.5,318.86,0,0,0,11946.33
2018,G11283,19562,Encana Corporation - Hythe Gas Battery 15-31,211110,Grande Prairie,Alberta,11206.44,3340.75,336.74,0,0,0,14883.93
2018,G11393,26501,Encana Corporation - Kaybob Gas Plant 05-31,211110,Grande Prairie,Alberta,24836.02,5269.75,682.42,0,0,0,30788.19
2018,G11462,28184,Encana Corporation - Pipestone Comp Stn 16-34,211110,Grande Prairie,Alberta,36558.96,9456.75,1102.6,0,0,0,47118.31
2018,G11074,11,Hexion Canada Inc. - Hexion Canada Inc.- Edmonton Facility,325210,Edmonton,Alberta,12831.7875,2.0775,21.9328,77.792,0,0,12933.5898
2018,G10456,4823,Encana Corporation - Sexsmith Sour Gas Plant,211110,Sexsmith,Alberta,61470.98,3994,247.34,0,0,0,65712.32
2018,G10869,29453,Encana Corporation - Kaybob Gas Plant 10-29-063 ,211110,Grande Prairie,Alberta,45202.8,9934.25,965.52,0,0,0,56102.57
2018,G11766,30003,543077 Alberta Ltd. - Sil Industrial Minerals Lamont Plant,212398,Bruderheim,Alberta,24079.7888,15.3675,609.7378,0,0,0,24704.8941
2018,G10260,2963,Shell Chemicals Canada - Scotford Chemical Plant,325110,"Fort Saskatchewan,Strathcona County",Alberta,330893.1691,557.4525,1889.2902,3268.497,0,0,336608.4088
2018,G10914,21777,Prairie Mines & Royalty ULC - Sheerness Mine,212115,Hanna,Alberta,15706.9209,14651.2375,43.8656,0,0,0,30402.024
2018,G11695,,Bonavista Energy Corporation - ANSELL GGS 12-31,211110,Ansell,Alberta,39569.45,12501.84,1156.985,0,0,0,53228.275
2018,G11342,,Bonavista Energy Corporation - Bonavista Pine Creek 12-19-57-18,211110,na,Alberta,6260.1506,5727.5925,138.3912,0,0,0,12126.1343
2018,G11897,,Bonavista Energy Corporation - BONAVISTA STRACHAN 05-34-037-08W5,211110,N/A,Alberta,12704.6923,3275.685,398.8432,0,0,0,16379.2205
2018,G11691,,Bonavista Energy Corporation - Fairborne Marlboro 05-29 Sweet Gp,211110,N/A,Alberta,16965.9761,3756.9125,450.8144,0,0,0,21173.703
2018,G11696,,Bonavista Energy Corporation - Gilby 03-28-41-4 Ggs,211110,Gilby,Alberta,28236.9202,6689.915,809.4276,0,0,0,35736.2628
2018,G11689,,Bonavista Energy Corporation - MORNINGSIDE 11-35 COMP,211110,N/A,Alberta,12026.9266,2563.8825,685.4894,0,0,0,15276.2985
2018,G11344,16720,Bonavista Energy Corporation - Pancdn Wilson Creek #2,211110,na,Alberta,17751.2458,4744.17,555.7998,0,0,0,23051.2156
2018,G11343,16727,Bonavista Energy Corporation - Pcp Westerose 14-27,211110,na,Alberta,6984.8486,8731.98,310.963,0,0,0,16027.7916
2018,G11694,,Bonavista Energy Corporation - Pine Creek 12-2-56-19 Multiwell Gas,211110,n/a,Alberta,18835.4573,8188.85,1123.9368,0,0,0,28148.2441
2018,G11692,,Bonavista Energy Corporation - SOUTH ROSEVEAR 11-36-53-15,211110,N/A,Alberta,13250.0587,6933.2575,243.3468,0,0,0,20426.663
2018,G11163,2223,Bonavista Energy Corporation - South Rosevear Gas Plant,211110,Edson,Alberta,8126.9694,1870.3625,277.289,0,0,0,10274.6209
2018,G11180,,Bonavista Energy Corporation - Westerose Comp Stn 11-09,211110,na,Alberta,23427.0427,5600.6225,741.1558,0,0,0,29768.821
2018,G11693,,Bonavista Energy Corporation - Willesden Green 10-34-40-06w5 Ggs,211110,N/A,Alberta,14944.1264,4791.98,678.546,0,0,0,20414.6524
