Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2014,G10003,,"Foothills Pipe Lines Ltd. - Foothills Pipeline, Alberta",486210,AIRDRIE,Alberta,216103.0469,13301.77038,2779.2076,0,0,0,232184.0249
2014,G10006,2134,Agrium Inc. - Redwater Fertilizer Operations,325313,STURGEON COUNTY,Alberta,1077627.929,82905.85205,12178.9319,0,0,0,1172712.713
2014,G10007,3974,Keyera Corp - Alberta Envirofuels,325190,EDMONTON,Alberta,310697.8157,217.5925,525.5826,0,0,0,311440.9908
2014,G10008,,Alliance Pipeline Ltd. - Alliance Pipeline Ltd. - AB Pipeline System,486210,CALGARY,Alberta,540973.1035,23873.31193,4571.022,0,0,0,569417.4374
2014,G10009,1,Alberta-Pacific Forest Industries Inc. - Alberta-Pacific Forest Industries Inc.,322112,COUNTY OF ATHABASCA,Alberta,104910.3403,2083.34995,17193.5871,0,0,0,124187.2774
2014,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,78896.61911,123774.5015,3581.96,0,0,0,206253.0806
2014,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,4307100,1187.26005,19344.25191,0,0,0,4327631.512
2014,G10029,3749,Blaze Energy Ltd. - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,82760.02881,66093.3549,1746.2204,0,0,0,150599.6041
2014,G10030,1362,Keyera Corp - Brazeau River Gas Plant,211113,DRAYTON VALLEY,Alberta,88342.1766,9763.687625,3121.4308,0,0,0,101227.295
2014,G10040,15740,Calgary Energy Centre No. 2 Inc. - Calgary Energy Centre,221112,CALGARY,Alberta,396850.4063,2534.47495,3022.316,0,0,0,402407.1972
2014,G10044,3821,Canadian Fertilizers Limited - Canadian Fertilizers Limited,325313,MEDICINE HAT,Alberta,1559340.873,1841.204975,5052.143298,0,0,0,1566234.221
2014,G10046,,"Nova Gas Transmission Ltd. - TransCanada Pipeline, Alberta System",486210,FAIRVIEW,Alberta,2097786.141,578319.6288,28208.0542,0,0,0,2704313.824
2014,G10053,3269,Agrium Inc. - Carseland Nitrogen Operations,325313,CARSELAND,Alberta,468065.9412,9413.237675,1822.2998,0,0,0,479301.4787
2014,G10054,6700,TransCanada Energy Ltd. - Carseland Power Plant,221112,Carseland,Alberta,312229.625,531.047475,2373.3316,0,0,0,315134.0041
2014,G10055,2857,Orica Canada Inc. - Carseland Works,325313,CARSELAND,Alberta,464.256287,10.98,99901.51702,0,0,0,100376.7533
2014,G10058,6633,ENMAX Cavalier GP Inc.                                                 - Cavalier Power Plant,221112,STRATHMORE,Alberta,180665.1419,408.61,1303.9586,0,0,0,182377.7105
2014,G10065,6625,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Christina Lake SAGD Bitumen Battery",211114,LAC LA BICHE,Alberta,1824437.977,3804.985,2902.967,0,0,0,1831145.929
2014,G10068,6576,City of Medicine Hat - Electric Utility - Generation,221112,Medicine Hat,Alberta,300007,2927.145025,2309.7682,0,0,0,305243.9132
2014,G10069,23368,Capital Power (Alberta) Limited Partnership - Clover Bar Energy Centre,221112,EDMONTON,Alberta,152920.75,972.669975,1159.4286,0,0,0,155052.8486
2014,G10071,5248,Inter Pipeline Extraction Ltd. - Cochrane Extraction Plant,211113,COCHRANE,Alberta,426818.0549,4510.694975,2750.5996,0,0,0,434079.3495
2014,G10073,442,Imperial Oil Resources Limited - Cold Lake,211114,GRANDE CENTRE,Alberta,4394663.562,16657.02155,22325.75323,0,0,0,4433646.337
2014,G10086,,ATCO Gas and Pipelines Ltd. - ATCO Gas - Distribution Systems,221210,Edmonton,Alberta,10590.74284,125547.7256,58.68216,0,0,0,136197.1506
2014,G10095,24315,City of Calgary - East Calgary Landfill,562210,CALGARY,Alberta,1108,26848.99903,0,0,0,0,27956.99903
2014,G10096,4140,Taqa North Ltd. - East Crossfield Gas Plant 9-14-28-1W5,211113,CROSSFIELD,Alberta,123145.1136,2258.264975,662.0666,0,0,0,126065.4451
2014,G10098,3903,Suncor Energy Products Partnership - Edmonton Refinery,324110,EDMONTON,Alberta,1222549.055,2919.15995,2097.2048,0,0,0,1227565.419
2014,G10100,5284,Talisman Energy - Edson Gas Plant,211113,EDSON,Alberta,185648.3154,11185.92513,1408.944,0,0,0,198243.1845
2014,G10106,23956,ConocoPhillips Canada Operations Ltd. - Elmworth Gas Plant,211113,ELMWORTH,Alberta,249140.3295,19121.22488,1527.846,0,0,0,269789.4003
2014,G10108,3752,Spectra Energy Empress LP - Empress Straddle Gas Plant,211113,CYPRESS COUNTY,Alberta,325250.2677,5956.2027,1576.6286,0,0,0,332783.099
2014,G10111,6826,Graymont Western Canada Inc. - Exshaw Plant,327410,EXSHAW,Alberta,164168.4167,300.15,288.762,0,0,0,164757.3287
2014,G10112,5291,Lafarge Canada Inc. - Exshaw Cement Plant,327310,EXSHAW,Alberta,852153.2632,1564.065,1449.472,0,0,0,855166.8002
2014,G10119,2132,Sherritt International Corporation - Fort Saskatchewan,331410,FORT SASKATCHEWAN,Alberta,331780.9458,16858.92718,3650.4106,0,0,0,352290.2836
2014,G10120,5352,TransAlta Generation Partnership - Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,221112,FORT SASKATCHEWAN,Alberta,370162.1563,667.21,2768.9862,0,0,0,373598.3525
