Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2019,G11527,,Flagstaff Regional Solid Waste Management - Flagstaff Waste Regional Landfill,562210,SEDGEWICK,Alberta,1610,14672.5,0,0,0,0,16282.5
2019,G12239,,Murphy Oil Company Ltd - KAYBOB NORTH 16-25-065-20W5,211110,Greenview,Alberta,11183.9247,1087.625,54.3552,0,0,0,12325.9049
2019,G11898,1864,Heaven Hill Distilling Canada Inc. - The Black Velvet Distilling Company,312140,LETHBRIDGE,Alberta,20986.6868,9.99,107.131,0,0,0,21103.8078
2019,G11174,4468,Bunge Canada  - BUNGE CANADA - FORT SASKATCHEWAN PLANT,311224,STURGEON COUNTY,Alberta,14861.55,7.7,74.6192,0,0,0,14943.8692
2019,G11913,169,Bunge Canada  - BUNGE CANADA - WAINWRIGHT PLANT,311990,WAINWRIGHT,Alberta,7927.89,4.625,40.8558,0,0,0,7973.3708
2019,G10152,6556,INEOS Canada Partnership - Joffre LAO Plant,325110,Joffre,Alberta,170082.8018,155.36,712.8458,0,0,0,170951.0076
2019,G11695,,Bonavista Energy Corporation - Ansell Gas Plant 12-31-050-17 W5M,211110,YELLOWHEAD COUNTY,Alberta,35570.1689,12659.1475,1023.2128,0,0,0,49252.5292
2019,G11691,,Bonavista Energy Corporation - Marlboro Gas Plant 05-29-055-19 W5M,211110,YELLOWHEAD COUNTY,Alberta,17660.8136,3081.0025,443.5134,0,0,0,21185.3295
2019,G11342,,Bonavista Energy Corporation - Bonavista Pine Creek 12-19-57-18,211110,NA,Alberta,6060.0074,5786.3925,154.1852,0,0,0,12000.5851
2019,G11163,2223,Bonavista Energy Corporation - South Rosevear Gas Plant 16-11-054-15 W5M,211110,YELLOWHEAD COUNTY,Alberta,8395.9454,1633.3675,280.567,0,0,0,10309.8799
2019,G11692,,Bonavista Energy Corporation - SOUTH ROSEVEAR 11-36-53-15,211110,N/A,Alberta,11571.726,11809.1325,229.8772,0,0,0,23610.7357
2019,G11693,,Bonavista Energy Corporation - Willesden Green 10-34-40-06w5 Ggs,211110,N/A,Alberta,14671.8511,3365.6525,625.5318,0,0,0,18663.0354
2019,G11688,,Bonavista Energy Corporation - Willesden Gn 16-12-42-6W5,211110,WILLESDEN,Alberta,6857.9192,3628.085,229.6388,0,0,0,10715.643
2019,G11694,,Bonavista Energy Corporation - Pine Creek 12-2-56-19 Multiwell Gas,211110,N/A,Alberta,16240.9902,6095.3475,961.497,0,0,0,23297.8347
2019,G11696,,Bonavista Energy Corporation - Gilby 03-28-41-4 Ggs,211110,GILBY,Alberta,33969.793,9724.165,1079.4156,0,0,0,44773.3736
2019,G11689,,Bonavista Energy Corporation - MORNINGSIDE 11-35 COMP,211110,N/A,Alberta,16055.6435,3226.2825,1029.7986,0,0,0,20311.7246
2019,G11897,,Bonavista Energy Corporation - BONAVISTA STRACHAN 05-34-037-08W5,211110,N/A,Alberta,23009.3736,5647.065,781.3858,0,0,0,29437.8244
2019,G11180,,Bonavista Energy Corporation - Westerose Comp Stn 11-09,211110,NA,Alberta,22153.4924,5480.7975,800.2492,0,0,0,28434.5391
2019,G11343,16727,Bonavista Energy Corporation - Pcp Westerose 14-27,211110,NA,Alberta,5884.1515,5625.8875,207.4974,0,0,0,11717.5364
2019,G11344,16720,Bonavista Energy Corporation - Pancdn Wilson Creek #2,211110,NA,Alberta,16838.1277,4465.2425,465.2674,0,0,0,21768.6376
2019,G12279,,Bonavista Energy Corporation - FAIRBORNE HZ PINE CK 16-3-56-19,211110,YELLOWHEAD,Alberta,8824.1051,959.53,701.79,0,0,0,10485.4251
2019,G11111,5020,McCain Foods Canada Ltd. - McCain Foods Coaldale FF plant,311410,COALDALE,Alberta,24901,16,128.14,0,0,0,25045.14
2019,G11121,2517,Spray Lake Sawmills (1980) Ltd. - Spray Lake Sawmills (1980) Ltd.,321114,Cochrane,Alberta,11094.364,6.725,131.12,0,0,0,11232.209
2019,G10327,19289,Rio Tinto Alcan Inc - Strathcona Works,324190,SHERWOOD PARK,Alberta,123621.2648,0.95265,3.154926,8.187175,0,0,123633.5595
2019,G10097,126,Celanese Canada ULC. - Edmonton Site,325210,EDMONTON,Alberta,22446.55,168.35,188.6936,1407.37,0,0,24210.9636
2019,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,MEDICINE HAT,Alberta,158288.0443,341.2525,367.4638,0,0,3.4656,159000.2262
2019,G10883,24232,Border Paving Ltd. - Border Paving 20010,237310,Red Deer,Alberta,454.642275,0.221725,5.139904,0,0,0,460.003904
2019,G10888,21078,Border Paving Ltd. - Border Paving 20011,237310,GOVERNMENT PIT,Alberta,3882.61325,1.8776,47.451136,0,0,0,3931.941986
2019,G10879,6850,Border Paving Ltd. - Camrose Batch Plant,237310,CAMROSE,Alberta,3382.132216,3.2414,86.049884,0,0,0,3471.4235
2019,G10882,6849,Border Paving Ltd. - Hinton Batch Plant,237310,HINTON,Alberta,512.210286,0.28495,7.058726,0,0,0,519.553962
2019,G10886,21075,Border Paving Ltd. - Portable Plant 020002,237310,WABAMUN,Alberta,366.507,0.18055,3.819764,0,0,0,370.507314
